Hotel Name,Price,Image,Address,Float Rating,Rating,Hotel URL
OYO Hotel Midtown,699.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/medium/3a07aceb0ee5d8bb.jpg,"GALI NO.4, NEAR YAMAHA SHOWROOM, JAISTAMBH CHOWK, RAIPUR·       0.8 km",3.6,3.6 (979 Ratings)·Good,https://www.oyorooms.com/17293/
OYO Flagship 13669 Hotel Satnam,1199.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/medium/3a07aceb0ee5d8bb.jpg,"Near Axis Bank, Sharda Chowk, Raipur·       0.6 km",2.6,2.6 (105 Ratings)·Fair,https://www.oyorooms.com/35710/
Capital O Convivial Hotel Amit Regency,613.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/thumb/7a5a50913718fcca.jpg,"Near Nagar Ghadi Chowk, Raipur·       0.9 km",3.2,3.2 (749 Ratings)·Fair,https://www.oyorooms.com/172579/
OYO Hotel Supreet Inn,638.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/thumb/15fc1e732075cead.jpg,"Near Nihal Hospital, New Shanti Nagar, Raipur·       2.7 km",3.5,3.5 (950 Ratings)·Good,https://www.oyorooms.com/89594/
Flagship Hotel Shubham Palace,649.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/thumb/942ad6f21a9ea052.jpg,"Opp Loins Club Station Road, Raipur·       1.3 km",3.2,3.2 (242 Ratings)·Fair,https://www.oyorooms.com/110399/
Flagship Hotel Gurukripa,638.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/thumb/d3602f12e5012fd0.jpg,"Near Raj Engineering, KK Road, Raipur·       0.9 km",3.3,3.3 (344 Ratings)·Fair,https://www.oyorooms.com/13112/
Flagship Hotel Pragya 3 New,1076.0,https://images.oyoroomscdn.com/uploads/hotel_image/17293/thumb/51003e9c8dc2eae0.jpg,"Dauda Colony, Raipur·       3.4 km",4.8,4.8 (150 Ratings)·Excellent,https://www.oyorooms.com/199245/
OYO Hotel Sandeep,584.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/medium/42c1d663b5b21968.jpg,"Opp Baldev Furniture, Raipur·       1.3 km",2.9,2.9 (140 Ratings)·Fair,https://www.oyorooms.com/112320/
SPOT ON Hotel The Blue Moon,429.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/medium/42c1d663b5b21968.jpg,"492001, Raipur·       3.6 km",2.4,2.4 (444 Ratings)·Fair,https://www.oyorooms.com/114985/
Flagship Hotel Capital,753.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/thumb/1433866ce10286e0.jpg,"Near Raipur Junction, Bilaspur Road, Raipur·       2.2 km",3.3,3.3 (232 Ratings)·Fair,https://www.oyorooms.com/59818/
Flagship Hotel Convivial Star,589.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/thumb/16df4d50ba019367.jpg,"Near Railway Station In Front Of Radha Mohan Complex Behind HDFC Bank  Punjab Oil Mil Gali Bhaisthan Raipur., Raipur·       1.4 km",3.5,3.5 (26 Ratings)·Good,https://www.oyorooms.com/198549/
OYO Flagship New Krishna Hotel & Restaurant,589.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/thumb/53d824201aed4003.jpg,"India , Raipur·       1.6 km",3.5,3.5 (34 Ratings)·Good,https://www.oyorooms.com/199221/
Capital O Honey Hotel,584.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/thumb/d97e3684e80fbd55.jpg,"Khamtarai, Raipur·       4.3 km",3.8,3.8 (344 Ratings)·Good,https://www.oyorooms.com/114677/
SPOT ON Hotel Convivial Stay,657.0,https://images.oyoroomscdn.com/uploads/hotel_image/35710/thumb/d55648b05464066b.jpg,"Behind S B I Bank, Raipur·       1.0 km",3.1,3.1 (380 Ratings)·Fair,https://www.oyorooms.com/115559/
Flagship B N Palace,589.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/medium/6378695599b41802.jpg,"Near Railway Station, Raipur·       2.0 km",2.4,2.4 (17 Ratings)·Fair,https://www.oyorooms.com/201140/
SPOT ON Hotel Diamond Inn,522.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/medium/6378695599b41802.jpg,"Mohba Raipur, Raipur·       5.0 km",3.8,3.8 (42 Ratings)·Good,https://www.oyorooms.com/197529/
Flagship Hotel Sukun,589.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/thumb/1eb69c4b43fb5e41.jpg,"Plot No 01/57 plot No 01/57 Near Santoshi Nagar Chowk Ring  Road No 1 Raipur, Raipur·       1.7 km",3.3,3.3 (9 Ratings)·Fair,https://www.oyorooms.com/206479/
SPOT ON City Tower Inn,451.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/thumb/5f4482f308460474.jpg,"near BAKEOLOGY bakery, khokha road , Avanti Bai Chowk , Bhilai ( C.G)·       30.0 km",5.0,5.0 (3180 Ratings)·Fabulous,https://www.oyorooms.com/97835/
Capital O Shagun Farms,1783.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/thumb/ccd65c31a4086369.jpg,"Near Airport, Vishal Nagar, Raipur·       5.0 km",4.1,4.1 (112 Ratings)·Very Good,https://www.oyorooms.com/43832/
SPOT ON Hotel Galaxy Inn,449.0,https://images.oyoroomscdn.com/uploads/hotel_image/172579/thumb/538f90d933eeb0a1.jpg,"chattisgarh, Bhilai·       28.6 km",3.7,3.7 (15 Ratings)·Good,https://www.oyorooms.com/206004/
