Hotel Name,Price,Image,Address,Float Rating,Rating,Hotel URL
SPOT ON Shree Agarwal's Hotel,469.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/medium/cea3c76966dc8018.jpg,"189,barodiya Scheme, Near Railway Station, Kabir Marg, Bani Park, Jaipur·       3.0 km",4.4,4.4 (255 Ratings)·Very Good,https://www.oyorooms.com/110348/
Collection O Hotel Villa Homes,581.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/medium/cea3c76966dc8018.jpg,"Plot no 10, Sai college marg, Sindhi Colony, Near pink square mall, Rajapark, Jaipur-302004·       2.5 km",4.4,4.4 (788 Ratings)·Very Good,https://www.oyorooms.com/173585/
OYO Stephels Hostel,572.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/thumb/e3f2c1d3cb0cb141.jpg,"M I Road, Jaipur·       1.3 km",3.6,3.6 (309 Ratings)·Good,https://www.oyorooms.com/191774/
Super OYO Townhouse 036 C Scheme Ahinsa Circle,1330.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/thumb/25f095f2558d0d01.jpg,"Near Oth Ahinsa Circle, Ashok Marg, Jaipur·       1.5 km",4.3,4.3 (2365 Ratings)·Very Good,https://www.oyorooms.com/104589/
OYO Hotel Malhotra,862.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/thumb/60af8c60c1e30d47.jpg,"Near Meena Petrol Pump, Jaipur-Delhi Highway, Jaipur·       2.6 km",4.1,4.1 (356 Ratings)·Very Good,https://www.oyorooms.com/18298/
Collection O Hotel Salasar Palace,677.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/thumb/2232ded078016834.jpg,"Adarsh Nagar, Jaipur·       2.9 km",4.4,4.4 (282 Ratings)·Very Good,https://www.oyorooms.com/195529/
Flagship Bombay Hotel,576.0,https://images.oyoroomscdn.com/uploads/hotel_image/110348/thumb/cf1d55bc39e949f7.jpg,"Nidar chandpol CHANDPOLE GATE OPP. CHURCH, Jaipur·       1.5 km",3.6,3.6 (24 Ratings)·Good,https://www.oyorooms.com/204580/
Flagship Ahinsha Cicle,1132.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/medium/d1df198fb0896cfe.jpg,"C Scheme, Jaipur·       1.5 km",4.1,4.1 (2684 Ratings)·Very Good,https://www.oyorooms.com/105384/
Collection O Hotel Staybridge Suites,812.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/medium/d1df198fb0896cfe.jpg,"Opposite Ganpati Plaza, Jaipur·       1.9 km",4.0,4.0 (841 Ratings)·Very Good,https://www.oyorooms.com/172099/
Collection O Hotel Albert,569.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/thumb/393b671585904789.jpg,"Rajapark, Jaipur·       0.8 km",3.2,3.2 (55 Ratings)·Fair,https://www.oyorooms.com/198609/
Super OYO Hotel Tourist Residency,1053.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/thumb/aeeb7469f95d3274.jpg,"Before Police Reserve Line, Jaipur·       1.8 km",4.9,4.9 (913 Ratings)·Fabulous,https://www.oyorooms.com/177450/
OYO Hotel Govindam Palaza,753.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/thumb/af60f3f7e7222ad5.jpg,"Near Crystal Palm Mall, Banipark ,Jaipur·       2.8 km",4.0,4.0 (896 Ratings)·Very Good,https://www.oyorooms.com/55978/
Flagship Hotel Regal Stay,583.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/thumb/69582c8ee058edaa.jpg,"Sector 7, Jaipur·       2.9 km",4.5,4.5 (412 Ratings)·Excellent,https://www.oyorooms.com/190426/
Flagship Hotel Prime Residency,777.0,https://images.oyoroomscdn.com/uploads/hotel_image/173585/thumb/df9e1498d3a79a38.jpg,"Near Sansar Chandra Road, Jaipur·       1.9 km",3.6,3.6 (1645 Ratings)·Good,https://www.oyorooms.com/13864/
SPOT ON Hotel Red Tomato,465.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/medium/26669f89a90d9069.jpg,"Near City Center Complex, Sansar Chandra Road, Jaipur·       1.5 km",2.8,2.8 (87 Ratings)·Fair,https://www.oyorooms.com/98283/
OYO Hotel Suraj Villa,640.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/medium/26669f89a90d9069.jpg,"Near Railway Station, Aravind Nagar, Jaipur·       3.0 km",4.2,4.2 (421 Ratings)·Very Good,https://www.oyorooms.com/48890/
Townhouse OAK Hotel Joy24,1224.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/thumb/8cba8d183c32c049.jpg,"M D Road, Jaipur·       0.9 km",3.4,3.4 (242 Ratings)·Fair,https://www.oyorooms.com/195396/
OYO Townhouse 453 Malviya Nagar,502.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/thumb/fa24ee9efab59206.jpg,"Sanganer Tehsil, Jaipur·       9.0 km",4.8,4.8 (3141 Ratings)·Excellent,https://www.oyorooms.com/113804/
Super OYO Capital O Hotel Swastika,1318.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/thumb/8e18877e6c262729.jpg,"Near tiwari ji ki bagichi, polo victory cinema, Jaipur·       2.3 km",4.6,4.6 (1577 Ratings)·Excellent,https://www.oyorooms.com/15330/
OYO Townhouse 79651 Townhouse Oth Buddhi,564.0,https://images.oyoroomscdn.com/uploads/hotel_image/191774/thumb/6faf879296b87422.jpg,"Jagatpura, Jaipur·       9.0 km",4.3,4.3 (4149 Ratings)·Very Good,https://www.oyorooms.com/111128/
Park Prime,7500,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304131032,"C Scheme, Jaipur",4.1,4.1/5 Excellent (3929),https://www.yatra.com/hotels/hotels-in-jaipur/park-prime
Hotel Om Tower,2500,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304131032,"M I Road, Jaipur",4.0,4/5 Very Good (2740),https://www.yatra.com/hotels/hotels-in-jaipur/hotel-om-tower
Hotel Sarang Palace,1640,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304131032,"Bani Park, Jaipur",4.4,4.4/5 Excellent (2277),https://www.yatra.com/hotels/hotels-in-jaipur/hotel-sarang-palace
Chokhi Dhani 5 Star Deluxe Resort,6999,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304131032,"Tonk Road, Jaipur",4.3,4.3/5 Excellent (1817),https://www.yatra.com/hotels/hotels-in-jaipur/chokhi-dhani-ethnic-village-resort
Umaid Bhawan-A Heritage Style Boutique Hotel,5100,https://img.yatra.com/content/yatra-seo/default/images/hotel-tiny.jpg?version=202304131032,"Bani Park, Jaipur",,,https://www.yatra.com/hotels/hotels-in-jaipur/umaid-bhawan-heritage-house-hotel
