Hotel Name,Price,Image,Address,Float Rating,Rating,Hotel URL
SPOT ON Krrish 2,425,https://images.oyoroomscdn.com/uploads/hotel_image/108304/medium/f3e8e8a51a4f9db1.jpg,"Katulbod, Bhilai·       3.5 km",4.3,4.3 (701 Ratings)·Very Good,https://www.oyorooms.com/108304/
POP Hotel Blue Star,699,https://images.oyoroomscdn.com/uploads/hotel_image/108304/medium/f3e8e8a51a4f9db1.jpg,"Durg, Bhilai·       2.0 km",4.5,4.5 (746 Ratings)·Excellent,https://www.oyorooms.com/182964/
SPOT ON Hotel Seema Inn,425,https://images.oyoroomscdn.com/uploads/hotel_image/108304/thumb/28b6b090e248e3b8.jpg,"East Bhilai, Bhilai·       4.6 km",4.6,4.6 (1022 Ratings)·Excellent,https://www.oyorooms.com/173479/
SPOT ON Hotel Krrish,499,https://images.oyoroomscdn.com/uploads/hotel_image/108304/thumb/2651dd09f4d9f2fd.jpg,"Near Khamaria Road, Junwani Chowk, Bhilai·       4.6 km",4.3,4.3 (589 Ratings)·Very Good,https://www.oyorooms.com/98982/
SPOT ON Hotel Evening Star Inn,415,https://images.oyoroomscdn.com/uploads/hotel_image/108304/thumb/37c4f8ddd3c46b24.jpg,"Near Ujjwal Mangal Bhawan Kohka, Bhilai·       7.1 km",3.6,3.6 (126 Ratings)·Good,https://www.oyorooms.com/191406/
SPOT ON Hotel Time Square,415,https://images.oyoroomscdn.com/uploads/hotel_image/108304/thumb/85fadfb3c5cf505a.jpg,"Supela Ghadi Chowk, Bhilai·       7.0 km",4.0,4.0 (422 Ratings)·Very Good,https://www.oyorooms.com/111800/
SPOT ON City Tower Inn,819,https://images.oyoroomscdn.com/uploads/hotel_image/108304/thumb/2276802025f1fbda.jpg,"near BAKEOLOGY bakery, khokha road , Avanti Bai Chowk , Bhilai ( C.G)·       7.2 km",5.0,5.0 (3169 Ratings)·Fabulous,https://www.oyorooms.com/97835/
OYO Hotel Manoj,649,https://images.oyoroomscdn.com/uploads/hotel_image/182964/medium/ytggltjhwcnn.jpg,"Platform 1, Bhilai Power house station, Bhilai·       9.6 km",4.9,4.9 (565 Ratings)·Fabulous,https://www.oyorooms.com/55151/
SPOT ON Hotel Morning Star Inn,420,https://images.oyoroomscdn.com/uploads/hotel_image/182964/medium/ytggltjhwcnn.jpg,"Kohaka, Bhilai·       7.8 km",4.1,4.1 (510 Ratings)·Very Good,https://www.oyorooms.com/115330/
SPOT ON Hotel Galaxy Inn,449,https://images.oyoroomscdn.com/uploads/hotel_image/182964/thumb/wpofnxnuqstc.jpg,"chattisgarh, Bhilai·       9.3 km",3.7,3.7 (15 Ratings)·Good,https://www.oyorooms.com/206004/
OYO Flagship 810897 The Bellfair,576,https://images.oyoroomscdn.com/uploads/hotel_image/182964/thumb/rbjdlcpykeuv.jpg,"Kohka, Bhilai·       8.0 km",3.6,3.6 (978 Ratings)·Good,https://www.oyorooms.com/207911/
OYO Hotel Midtown,699,https://images.oyoroomscdn.com/uploads/hotel_image/182964/thumb/pprgdkjjiikf.jpg,"GALI NO.4, NEAR YAMAHA SHOWROOM, JAISTAMBH CHOWK, RAIPUR·       36.7 km",4.8,4.8 (151 Ratings)·Excellent,https://www.oyorooms.com/17293/
Flagship Hotel Pragya 3 New,576,https://images.oyoroomscdn.com/uploads/hotel_image/182964/thumb/mqlqdphfaqfj.jpg,"Dauda Colony, Raipur·       38.0 km",3.5,3.5 (945 Ratings)·Good,https://www.oyorooms.com/199245/
OYO Hotel Supreet Inn,625,https://images.oyoroomscdn.com/uploads/hotel_image/182964/thumb/ptrngwthqvii.jpg,"Near Nihal Hospital, New Shanti Nagar, Raipur·       39.2 km",2.4,2.4 (443 Ratings)·Fair,https://www.oyorooms.com/89594/
SPOT ON Hotel The Blue Moon,420,https://images.oyoroomscdn.com/uploads/hotel_image/173479/medium/fc6e5fcfc8225b16.jpg,"492001, Raipur·       39.5 km",3.7,3.7 (44 Ratings)·Good,https://www.oyorooms.com/114985/
SPOT ON Hotel Diamond Inn,511,https://images.oyoroomscdn.com/uploads/hotel_image/173479/medium/fc6e5fcfc8225b16.jpg,"Mohba Raipur, Raipur·       32.0 km",3.3,3.3 (230 Ratings)·Fair,https://www.oyorooms.com/197529/
Flagship Hotel Capital,576,https://images.oyoroomscdn.com/uploads/hotel_image/173479/thumb/6086048748d698bf.jpg,"Near Raipur Junction, Bilaspur Road, Raipur·       37.2 km",2.3,2.3 (2 Ratings)·Fair,https://www.oyorooms.com/59818/
OYO Flagship 810494 Hotel The Cloud,576,https://images.oyoroomscdn.com/uploads/hotel_image/173479/thumb/4801333232dc213c.jpg,"Near railway crossing, Bhilai·       7.4 km",3.2,3.2 (751 Ratings)·Fair,https://www.oyorooms.com/207133/
SPOT ON 81062 Moonlight Hotel,465,https://images.oyoroomscdn.com/uploads/hotel_image/173479/thumb/1a308a2f337256e0.jpg,"Ramnagar Supela Bhilai, Bhilai·       8.0 km",,,https://www.oyorooms.com/207386/
Capital O Convivial Hotel Amit Regency,601,https://images.oyoroomscdn.com/uploads/hotel_image/173479/thumb/9fbe59c39f96ea4f.jpg,"Near Nagar Ghadi Chowk, Raipur·       37.4 km",,,https://www.oyorooms.com/172579/
,,https://images.oyoroomscdn.com/uploads/hotel_image/173479/thumb/920416cffcd56b31.jpg,,,,
